,input.source,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,SimCo,SimCo_exit_status,Autfilt,Autfilt_exit_status,Seminator,Seminator_exit_status,Kofola,Kofola_exit_status,SimCo+,SimCo+_exit_status
190,data/automata/practice/practice_automata.hoa:2638154.1-2948886.7,5,43362,267362,287998,5,13303,20013,1,0,,timeout,80623.0,ok,,timeout,98075.0,ok,,timeout
191,data/automata/practice/practice_automata.hoa:2948887.1-2949144.7,2,45,204,204,2,15,13,1,0,4742.0,ok,32.0,ok,18.0,ok,29.0,ok,130.0,ok
192,data/automata/practice/practice_automata.hoa:2949145.1-2949261.7,2,28,80,92,2,26,17,1,0,106.0,ok,12.0,ok,11.0,ok,12.0,ok,53.0,ok
193,data/automata/practice/practice_automata.hoa:2949262.1-2949435.7,3,45,120,130,2,33,32,1,0,327.0,ok,11.0,ok,9.0,ok,10.0,ok,102.0,ok
194,data/automata/practice/practice_automata.hoa:2949436.1-2949497.7,3,13,40,62,2,10,8,1,0,102.0,ok,6.0,ok,5.0,ok,4.0,ok,23.0,ok
195,data/automata/practice/practice_automata.hoa:2949498.1-2949535.7,3,6,23,40,2,3,2,1,0,90.0,ok,11.0,ok,8.0,ok,7.0,ok,33.0,ok
196,data/automata/practice/practice_automata.hoa:2949536.1-2949671.7,2,33,94,122,2,10,8,1,0,605.0,ok,49.0,ok,22.0,ok,20.0,ok,181.0,ok
197,data/automata/practice/practice_automata.hoa:2949672.1-2953181.7,3,863,2638,3085,3,207,328,1,0,19864.0,ok,296.0,ok,141.0,ok,221.0,ok,3279.0,ok
198,data/automata/practice/practice_automata.hoa:2953182.1-2953203.7,1,4,9,9,2,4,3,1,0,14.0,ok,3.0,ok,2.0,ok,2.0,ok,6.0,ok
199,data/automata/practice/practice_automata.hoa:2953204.1-2953247.7,3,8,27,64,2,8,7,1,0,115.0,ok,8.0,ok,1.0,ok,2.0,ok,42.0,ok
200,data/automata/practice/practice_automata.hoa:2953248.1-2957070.7,8,194,3620,12542,2,71,114,1,0,,timeout,22.0,ok,21.0,ok,23.0,ok,355.0,ok
201,data/automata/practice/practice_automata.hoa:2957071.1-2957967.7,3,291,597,597,2,124,95,1,0,3081.0,ok,281.0,ok,147.0,ok,119.0,ok,908.0,ok
202,data/automata/practice/practice_automata.hoa:2957968.1-2958122.7,4,22,124,161,2,16,17,1,0,218.0,ok,6.0,ok,5.0,ok,4.0,ok,60.0,ok
203,data/automata/practice/practice_automata.hoa:2958123.1-2958184.7,2,13,40,40,2,10,8,1,0,83.0,ok,6.0,ok,5.0,ok,4.0,ok,21.0,ok
